"","plant_genus","plant_family","n_droppings","n_bird_spp"
"1","Albizia","Fabaceae",1,1
"2","Alchornea","Euphorbiaceae",2,1
"3","Allophylus","Sapindaceae",3,3
"4","Amphilophium","Bignoniaceae",1,1
"5","Aspidosperma","Apocynaceae",1,1
"6","Banisteriopsis","Malpighiaceae",1,1
"7","Casearia","Salicaceae",9,5
"8","Cecropia","Urticaceae",2,2
"9","Centrolobium","Fabaceae",1,1
"10","Cestrum","Solanaceae",2,2
"11","Chamissoa","Amaranthaceae",1,1
"12","Citharexylum","Verbenaceae",1,1
"13","Cordia","Boraginaceae",2,2
"14","Dendropanax","Araliaceae",1,1
"15","Eugenia","Myrtaceae",2,1
"16","Gouania","Rhamnaceae",1,1
"17","Lippia/Lantana","Verbenaceae",1,1
"18","Maclura","Moraceae",1,1
"19","Miconia","Melastomataceae",16,9
"20","Morus","Moraceae",2,2
"21","Myrcia","Myrtaceae",1,1
"22","Myrciaria","Myrtaceae",1,1
"23","Myriopus","Boraginaceae",1,1
"24","Nicotiana","Solanaceae",2,2
"25","Ocotea","Lauraceae",1,1
"26","Piper","Piperaceae",3,2
"27","Psidium","Myrtaceae",2,2
"28","Psychotria","Rubiaceae",2,1
"29","Rubus","Rosaceae",1,1
"30","Senna","Fabaceae",1,1
"31","Serjania/Paullinia","Sapindaceae",4,4
"32","Siparuna","Siparunaceae",1,1
"33","Solanum","Solanaceae",3,3
"34","Stylogyne","Primulaceae",1,1
"35","Syagrus","Arecaceae",1,1
"36","Syzygium","Myrtaceae",1,1
"37","Terminalia","Combretaceae",1,1
"38","Tilesia","Asteraceae",1,1
"39","Trema","Cannabaceae",1,1
"40","Trichilia","Meliaceae",2,2
