"","bird_species","n_all","n_successful"
"1","Arremon flavirostris",2,2
"2","Chiroxiphia galeata",17,13
"3","Cnemotriccus fuscatus",1,1
"4","Eucometis penicillata",4,3
"5","Lathrotriccus euleri",1,0
"6","Leptopogon amaurocephalus",1,0
"7","Manacus manacus",5,5
"8","Myiarchus ferox",3,3
"9","Myiodynastes maculatus",1,0
"10","Nemosia pileata",1,1
"11","Pitangus sulphuratus",4,3
"12","Ramphocelus carbo",6,5
"13","Tachyphonus coronatus",6,5
"14","Thlypopsis sordida",1,0
"15","Thraupis sayaca",1,1
"16","Turdus amaurochalinus",3,3
"17","Turdus leucomelas",7,7
