"","Sample","Genus","Weight"
"1","027","Morus",1
"50","477","Morus",1
"54","040","Casearia",1
"55","043","Casearia",1
"56","050","Casearia",1
"57","052","Casearia",1
"58","053","Casearia",1
"60","070","Casearia",1
"62","084","Casearia",1
"86","272","Casearia",1
"98","432","Casearia",1
"107","043","Terminalia",1
"159","043","Trichilia",1
"200","412","Trichilia",1
"214","053","Ocotea",1
"267","064","Miconia",1
"276","132","Miconia",1
"277","136","Miconia",1
"278","181","Miconia",1
"283","212","Miconia",1
"284","241","Miconia",1
"285","242","Miconia",1
"286","243","Miconia",1
"288","246","Miconia",1
"289","253","Miconia",1
"290","255","Miconia",1
"292","269","Miconia",1
"293","271","Miconia",1
"302","384","Miconia",1
"308","447","Miconia",1
"309","468","Miconia",1
"321","073","Cestrum",1
"326","110","Cestrum",1
"375","087","Myrcia",1
"407","410","Myrcia",1
"428","099","Nicotiana",1
"480","099","Serjania/Paullinia",1
"503","286","Serjania/Paullinia",1
"508","322","Serjania/Paullinia",1
"516","447","Serjania/Paullinia",1
"533","103","Cordia",1
"536","132","Cordia",1
"585","103","Solanum",1
"589","136","Solanum",1
"611","321","Solanum",1
"620","447","Solanum",1
"638","110","Cecropia",1
"672","447","Cecropia",1
"690","110","Gouania",1
"743","113","Alchornea",1
"770","384","Alchornea",1
"795","113","Psychotria",1
"821","381","Psychotria",1
"848","132","Dendropanax",1
"901","136","Albizia",1
"953","136","Aspidosperma",1
"1007","195","Rubus",1
"1060","198","Eugenia",1
"1062","201","Eugenia",1
"1113","199","Allophylus",1
"1114","201","Allophylus",1
"1140","447","Allophylus",1
"1167","212","Maclura",1
"1223","244","Psidium",1
"1233","290","Psidium",1
"1276","246","Banisteriopsis",1
"1331","257","Senna",1
"1383","257","Syzygium",1
"1438","272","Piper",1
"1444","322","Piper",1
"1449","419","Piper",1
"1491","286","Myriopus",1
"1543","286","Tilesia",1
"1596","287","Trema",1
"1650","297","Siparuna",1
"1705","381","Lippia/Lantana",1
"1761","419","Chamissoa",1
"1815","437","Centrolobium",1
"1868","447","Amphilophium",1
"1920","447","Citharexylum",1
"1975","481","Syagrus",1
"2028","482","Stylogyne",1
