"","bird_species","n"
"1","Arremon flavirostris",2
"2","Chiroxiphia galeata",17
"3","Cnemotriccus fuscatus",1
"4","Eucometis penicillata",4
"5","Lathrotriccus euleri",1
"6","Leptopogon amaurocephalus",1
"7","Manacus manacus",5
"8","Myiarchus ferox",3
"9","Myiodynastes maculatus",1
"10","Nemosia pileata",1
"11","Pitangus sulphuratus",4
"12","Ramphocelus carbo",6
"13","Tachyphonus coronatus",6
"14","Thlypopsis sordida",1
"15","Thraupis sayaca",1
"16","Turdus amaurochalinus",3
"17","Turdus leucomelas",7
